NOME_MUNICIPIO,2017,2018,2019,2020,2021,2022,2023,2024
Socorro,75,50,56,27,22,35,58,62
Sorocaba,2778,2324,2014,704,329,559,3194,3031
Sud Mennucci,18,10,12,7,6,12,10,8
Sumaré,1345,1343,1204,625,707,939,1524,1172
Suzanápolis,3,3,1,4,2,1,0,4
Suzano,1473,1609,1364,698,584,837,2139,1895
Tabapuã,17,11,19,7,6,26,12,9
Tabatinga,15,17,30,21,34,17,11,15
Taboão da Serra,1709,1947,1811,828,567,500,2154,1929
Taciba,4,13,8,6,3,2,3,11
Taguaí,50,46,25,25,11,12,12,16
Taiaçu,11,11,11,11,10,9,4,19
Taiúva,10,9,6,7,9,5,13,9
Tambaú,51,40,35,33,39,37,27,35
Tanabi,56,56,63,43,42,50,44,50
Tapiraí,5,14,8,7,9,10,11,10
Tapiratiba,35,14,6,11,15,3,21,5
Taquaral,3,2,3,0,2,2,5,4
Taquaritinga,130,155,176,108,58,100,110,84
Taquarituba,114,49,49,27,40,42,57,25
Taquarivaí,1,5,7,2,3,6,9,5
Tarabai,20,14,8,9,4,9,8,5
Tarumã,37,25,32,15,26,12,12,11
Tatuí,325,292,204,109,111,172,237,266
Taubaté,1367,1227,1192,536,428,620,1374,1263
Tejupá,6,6,5,2,0,1,4,4
Teodoro Sampaio,31,46,31,26,17,20,24,21
Terra Roxa,12,16,9,4,7,14,5,12
Tietê,93,81,55,23,36,56,45,54
Timburi,2,1,0,1,0,0,3,2
Torre de Pedra,0,0,1,0,0,0,1,1
Torrinha,12,12,13,13,16,11,13,14
Trabiju,2,1,0,0,3,3,2,2
Tremembé,100,64,78,63,37,36,85,86
Três Fronteiras,11,10,15,9,3,6,5,6
Tuiuti,14,13,10,9,10,8,15,6
Tupã,156,164,151,73,91,101,94,94
Tupi Paulista,22,22,20,13,18,8,16,9
Turiúba,1,1,1,1,0,1,3,1
Turmalina,2,2,2,1,1,0,1,0
Ubarana,21,8,7,5,6,7,7,16
Ubatuba,488,332,392,285,182,249,693,532
Ubirajara,19,10,11,8,7,4,8,5
Uchoa,25,5,8,10,13,9,13,6
União Paulista,0,3,3,1,1,0,0,1
Urânia,11,8,6,2,4,8,9,11
Uru,1,1,2,1,0,1,3,3
Urupês,20,24,20,13,7,15,17,14
Valentim Gentil,34,32,28,24,14,18,22,19
Valinhos,302,295,336,152,114,169,376,331
Valparaíso,24,47,35,19,25,33,57,46
Vargem,21,21,28,18,11,7,21,15
Vargem Grande do Sul,100,103,107,90,80,91,73,57
Vargem Grande Paulista,143,147,131,83,64,90,170,156
Várzea Paulista,401,446,386,220,186,202,348,323
Vera Cruz,12,15,15,11,11,14,21,10
Vinhedo,198,228,224,122,80,112,231,235
Viradouro,64,33,27,37,30,18,16,20
Vista Alegre do Alto,8,11,10,8,5,14,11,4
Vitória Brasil,2,0,0,0,0,0,1,2
Votorantim,332,254,245,141,102,139,260,274
Votuporanga,351,242,311,191,156,224,236,229
Zacarias,5,4,10,6,0,3,4,1
