NOME_MUNICIPIO,Total
JUQUITIBA,96
LAGOINHA,13
LARANJAL PAULISTA,48
LAVINIA,6
LAVRINHAS,9
LEME,276
LENCOIS PAULISTA,156
LIMEIRA,1312
LINDOIA,8
LINS,186
LORENA,212
LOURDES,1
LOUVEIRA,105
LUCELIA,20
LUCIANOPOLIS,2
LUIS ANTONIO,20
LUIZIANIA,4
LUTECIA,1
MACATUBA,16
MACAUBAL,6
MACEDONIA,2
MAIRINQUE,91
MAIRIPORA,321
MANDURI,7
MARACAI,10
MARAPOAMA,82
MARIAPOLIS,1
MARILIA,571
MARTINOPOLIS,29
MATAO,180
MAUA,2938
MENDONCA,8
MERIDIANO,1
MESOPOLIS,1
MIGUELOPOLIS,77
MINEIROS DO TIETE,12
MIRA ESTRELA,8
MIRACATU,108
MIRANDOPOLIS,28
MIRANTE PARANAPANEMA,13
MIRASSOL,167
MIRASSOLANDIA,5
MOCOCA,177
MOGI DAS CRUZES,2204
MOGI GUACU,521
MOGI MIRIM,267
MOMBUCA,4
MONCOES,2
MONGAGUA,818
MONTE ALEGRE DO SUL,8
MONTE ALTO,93
MONTE APRAZIVEL,27
MONTE AZUL PAULISTA,26
MONTE CASTELO,3
MONTE MOR,213
MONTEIRO LOBATO,7
MORRO AGUDO,110
MORUNGABA,9
MOTUCA,5
MURUTINGA DO SUL,5
NANTES,5
NARANDIBA,7
NATIVIDADE DA SERRA,8
NAVIRAI,1
NAZARE PAULISTA,47
NEVES PAULISTA,11
NHANDEARA,13
NIPOA,6
NOVA ALIANCA,7
NOVA CAMPINA,11
NOVA CANAA PAULISTA,3
NOVA EUROPA,9
NOVA GRANADA,31
NOVA GUATAPORANGA,2
NOVA INDEPENDENCIA,8
NOVA LUZITANIA,1
NOVA ODESSA,189
NOVAIS,2
NOVO HORIZONTE,86
NUPORANGA,7
OCAUCU,4
OLEO,1
OLIMPIA,135
ONDA VERDE,7
ORIENTE,5
ORINDIUVA,8
ORLANDIA,72
OSASCO,6519
OSCAR BRESSANE,3
OSVALDO CRUZ,34
OURINHOS,236
OURO VERDE,8
OUROESTE,8
OUTRO PAIS,4
PACAEMBU,10
PALESTINA,7
PALMARES PAULISTA,4
PALMEIRA D OESTE,6
PALMITAL,42
PANORAMA,35
PARAGUACU PAULISTA,58
PARAIBUNA,35
PARAISO,4
PARANAPANEMA,12
PARANAPUA,3
PARAPUA,20
PARDINHO,9
PARIQUERA-ACU,19
PARISI,6
PATROCINIO PAULISTA,36
PAULICEIA,9
PAULINIA,402
PAULISTANIA,2
PAULO DE FARIA,2
PEDERNEIRAS,134
PEDRA BELA,5
PEDRANOPOLIS,2
PEDREGULHO,26
PEDREIRA,67
PEDRO DE TOLEDO,21
PENAPOLIS,92
PEREIRA BARRETO,36
PEREIRAS,12
PERUIBE,583
PIACATU,6
