NM_MUN,ROUBOS
Nazaré Paulista,47
Neves Paulista,11
Nhandeara,13
Nipoã,6
Nova Aliança,7
Nova Campina,11
Nova Canaã Paulista,3
Nova Europa,9
Nova Granada,31
Nova Guataporanga,2
Nova Independência,8
Nova Luzitânia,1
Nova Odessa,189
Novais,2
Novo Horizonte,86
Nuporanga,7
Ocauçu,4
Óleo,1
Olímpia,135
Onda Verde,7
Oriente,5
Orindiúva,8
Orlândia,72
Osasco,6519
Oscar Bressane,3
Osvaldo Cruz,34
Ourinhos,236
Ouro Verde,8
Ouroeste,8
Pacaembu,10
Palestina,7
Palmares Paulista,4
Palmeira d'Oeste,6
Palmital,42
Panorama,35
Paraguaçu Paulista,58
Paraibuna,35
Paraíso,4
Paranapanema,12
Paranapuã,3
Parapuã,20
Pardinho,9
Pariquera-Açu,19
Parisi,6
Patrocínio Paulista,36
Paulicéia,9
Paulínia,402
Paulistânia,2
Paulo de Faria,2
Pederneiras,134
Pedra Bela,5
Pedranópolis,2
Pedregulho,26
Pedreira,67
Pedro de Toledo,21
Penápolis,92
Pereira Barreto,36
Pereiras,12
Peruíbe,583
Piacatu,6
Piedade,70
Pilar do Sul,44
Pindamonhangaba,497
Pindorama,16
Pinhalzinho,15
Piquerobi,2
Piquete,24
Piracaia,49
Piracicaba,1297
Piraju,33
Pirajuí,19
Pirangi,25
Pirapora do Bom Jesus,30
Pirapozinho,42
Pirassununga,174
Piratininga,30
Pitangueiras,73
Planalto,6
Poá,883
Poloni,8
Pompéia,17
Pongaí,4
Pontal,62
Pontalinda,1
Pontes Gestal,3
Populina,1
Porangaba,18
Porto Feliz,129
Porto Ferreira,146
Potim,39
Potirendaba,27
Pracinha,7
Pradópolis,36
Praia Grande,4120
Pratânia,4
Presidente Alves,2
Presidente Bernardes,5
Presidente Epitácio,90
Presidente Prudente,634
Presidente Venceslau,38
Promissão,69
Quadra,7
Quatá,8
Queiroz,5
Queluz,33
Quintana,2
Rafard,12
Rancharia,60
Redenção da Serra,6
Regente Feijó,27
Reginópolis,6
Registro,149
Restinga,13
Ribeira,2
Ribeirão Bonito,13
Ribeirão Branco,17
Ribeirão do Sul,3
Ribeirão Grande,5
Ribeirão Pires,415
Ribeirão Preto,4228
Rifaina,20
Rincão,6
Rinópolis,14
Rio Claro,660
Rio das Pedras,56
Rio Grande da Serra,100
Riolândia,13
Riversul,7
Rosana,17
Roseira,21
Rubiácea,4
Rubinéia,4
Santa Adélia,27
Santa Albertina,2
Santa Bárbara d'Oeste,441
Santa Branca,24
Santa Clara d'Oeste,3
Santa Cruz da Conceição,10
Santa Cruz da Esperança,4
Santa Cruz das Palmeiras,42
Santa Cruz do Rio Pardo,107
Santa Ernestina,9
Santa Fé do Sul,113
Santa Gertrudes,38
Santa Isabel,170
Santa Lúcia,6
Santa Maria da Serra,5
Santa Mercedes,1
Santa Rita d'Oeste,3
Santa Rita do Passa Quatro,38
Santa Rosa de Viterbo,37
Santa Salete,1
Santo Anastácio,13
Santo André,7716
Santo Antônio da Alegria,5
Santo Antônio de Posse,42
Santo Antônio do Aracanguá,10
Santo Antônio do Jardim,18
Santo Antônio do Pinhal,16
Santo Expedito,1
Santópolis do Aguapeí,2
Santos,3215
São Bento do Sapucaí,10
São Bernardo do Campo,6624
São Caetano do Sul,1194
São Carlos,1229
São Francisco,1
São João da Boa Vista,219
São João das Duas Pontes,2
São João de Iracema,1
São João do Pau d'Alho,1
São Joaquim da Barra,106
São José da Bela Vista,14
São José do Barreiro,6
São José do Rio Pardo,82
São José do Rio Preto,2211
São José dos Campos,2735
São Lourenço da Serra,60
São Luiz do Paraitinga,21
São Manuel,62
São Miguel Arcanjo,50
São Paulo,215197
São Pedro,63
São Pedro do Turvo,8
São Roque,235
São Sebastião,405
São Sebastião da Grama,11
São Simão,28
São Vicente,2844
Sarapuí,17
Sarutaiá,6
Sebastianópolis do Sul,6
Serra Azul,16
Serrana,108
Serra Negra,33
Sertãozinho,335
Sete Barras,18
Severínia,17
Silveiras,4
Socorro,58
Sorocaba,3194
Sud Mennucci,10
Sumaré,1524
Suzano,2139
Tabapuã,12
Tabatinga,11
Taboão da Serra,2154
Taciba,3
Taguaí,12
Taiaçu,4
Taiúva,13
Tambaú,27
Tanabi,44
Tapiraí,11
Tapiratiba,21
